Player,Nation,Team,Position,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls_per90,Ast_per90,xG_per90,xAG_per90,GA90,Save%,CS%,PenSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist_x,ShortCmp%,MedCmp%,LongCmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,TotDist_y,PrgDist,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
James Ward-Prowse,eng ENG,West Ham,MF,30-184,11,9,802.0,0,1,2,0,0.5,1.1,9,45,4,0.00,0.11,0.06,0.12,N/a,N/a,N/a,N/a,28.6,28.6,0.00,20.7,523,87.6,8754,95.8,91.6,56.4,60,60,4,1,45,23,2.58,1,0.11,13,9,12,9,6,3,3,5,656,28,142,395,119,5,5,40.0,60.0,318,1531,669,13,0,3,6,455,4,9,2,0,37,43,5,4,55.6
James Ward-Prowse,eng ENG,Nott'ham Forest,MF,30-184,9,5,400.0,0,1,2,1,0.1,1.1,1,16,3,0.00,0.23,0.01,0.25,N/a,N/a,N/a,N/a,28.6,28.6,0.00,20.7,523,87.6,8754,95.8,91.6,56.4,60,60,4,1,45,23,2.58,1,0.11,13,9,12,9,6,3,3,5,656,28,142,395,119,5,5,40.0,60.0,318,1531,669,13,0,3,6,455,4,9,2,0,37,43,5,4,55.6
Jarell Quansah,eng ENG,Liverpool,DF,22-095,11,2,315.0,0,0,1,0,0.1,0.1,2,12,4,0.00,0.00,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,8.9,206,90.4,3720,97.4,91.3,65.0,18,18,1,0,12,2,0.57,0,0.00,10,7,7,2,5,5,0,5,272,36,134,113,25,5,2,50.0,50.0,165,922,483,3,1,4,2,190,4,7,1,0,2,9,5,8,38.5
Jason Steele,eng ENG,Brighton,GK,34-259,2,2,180.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.50,75.0,50.0,N/a,N/a,N/a,N/a,N/a,101,90.2,2321,100.0,96.9,65.4,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,114,107,114,0,0,0,0,N/a,N/a,91,361,151,0,0,0,0,83,0,0,1,0,0,7,1,1,50.0
Jeffrey Schlupp,gh GHA,Crystal Palace,"MF,DF",32-132,12,0,103.0,0,0,0,0,0.2,0.2,4,5,9,0.00,0.00,0.14,0.14,N/a,N/a,N/a,N/a,50.0,50.0,0.00,17.7,39,78.0,591,84.2,78.3,50.0,4,4,2,0,5,7,6.06,0,0.00,2,0,3,3,6,0,6,0,79,2,9,31,41,6,1,100.0,0.0,30,150,67,1,1,7,0,41,9,1,0,0,4,6,3,4,42.9
Joachim Andersen,dk DEN,Crystal Palace,DF,28-338,1,1,90.0,0,0,1,0,0.0,0.0,1,4,1,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,100.0,100.0,0.00,25.2,61,73.5,1227,90.5,83.8,42.9,9,9,1,0,4,1,1.00,0,0.00,1,1,2,1,0,0,0,0,93,14,38,50,5,0,0,N/a,N/a,49,189,103,1,0,0,1,67,1,2,0,0,1,7,2,0,100.0
Joe Gomez,eng ENG,Liverpool,DF,27-346,9,6,519.0,0,0,1,0,0.3,0.1,5,35,2,0.00,0.00,0.06,0.02,N/a,N/a,N/a,N/a,66.7,66.7,0.00,11.9,377,88.7,6689,91.2,93.6,61.9,29,29,0,0,35,5,0.87,1,0.17,13,10,16,5,9,6,3,7,481,54,183,264,37,5,0,N/a,N/a,303,1638,947,2,1,1,2,335,2,2,3,0,2,34,9,4,69.2
Joe Lumley,eng ENG,Southampton,GK,30-078,3,3,270.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.33,65.0,0.0,N/a,N/a,N/a,N/a,N/a,106,70.2,2342,95.5,91.3,35.6,2,2,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,164,116,161,3,0,0,0,N/a,N/a,103,476,296,0,0,0,0,108,0,0,0,0,0,2,2,1,66.7
Joe Willock,eng ENG,Newcastle Utd,"MF,FW",25-257,29,10,953.0,0,2,2,0,1.5,1.9,34,35,76,0.00,0.19,0.14,0.18,N/a,N/a,N/a,N/a,18.8,18.8,0.00,15.7,262,81.9,3708,88.6,86.0,42.1,23,23,8,0,35,41,3.88,4,0.38,25,14,28,10,22,5,17,5,472,12,70,198,212,47,32,34.4,46.9,282,1915,892,23,12,33,22,327,76,20,12,3,16,35,5,13,27.8
John Stones,eng ENG,Manchester City,"DF,MF",30-341,11,6,548.0,2,0,1,0,0.4,0.1,10,21,2,0.33,0.00,0.07,0.01,N/a,N/a,N/a,N/a,100.0,100.0,1.00,5.1,367,91.1,6382,94.4,92.5,77.5,42,42,0,0,21,8,1.31,2,0.33,6,2,5,0,5,3,2,4,442,40,142,234,68,4,2,100.0,0.0,292,2146,1183,14,0,2,0,333,2,2,2,0,0,22,8,6,57.1
Jonny Evans,nir NIR,Manchester Utd,DF,37-121,6,3,290.0,0,0,1,0,0.1,0.0,1,8,2,0.00,0.00,0.03,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,8.4,174,88.8,2809,94.3,90.0,50.0,9,9,1,0,8,2,0.62,0,0.00,7,5,4,2,2,1,1,4,223,30,125,91,11,2,1,100.0,0.0,128,498,183,0,0,1,0,137,2,5,6,0,0,15,8,3,72.7
Jorge Cuenca,es ESP,Fulham,DF,25-168,6,3,259.0,0,0,0,0,0.0,0.0,0,9,0,0.00,0.00,0.01,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,13.1,102,83.6,1768,89.5,88.2,42.9,7,7,0,0,9,1,0.35,0,0.00,2,2,5,3,3,3,0,2,152,23,88,59,6,1,2,100.0,0.0,65,235,116,1,0,1,0,92,0,2,2,0,1,9,6,3,66.7
Jorginho,it ITA,Arsenal,MF,33-135,14,9,703.0,0,0,5,0,0.1,0.4,12,48,6,0.00,0.00,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.2,410,86.7,6450,91.5,88.4,58.3,44,44,10,0,48,12,1.55,0,0.00,12,4,20,12,3,0,3,7,519,9,92,303,130,3,4,25.0,50.0,302,1498,874,13,0,10,9,388,6,15,17,0,1,54,1,6,14.3
Joshua Acheampong,eng ENG,Chelsea,DF,18-364,4,2,170.0,0,0,1,0,0.2,0.0,0,8,0,0.00,0.00,0.12,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,8.9,104,83.9,2025,90.6,92.6,55.0,6,6,0,0,8,2,1.06,0,0.00,2,1,2,0,1,0,1,1,137,7,48,81,8,3,2,50.0,0.0,106,709,409,2,0,2,0,111,0,0,1,0,0,7,1,6,14.3
Jota Silva,pt POR,Nott'ham Forest,"FW,MF",25-276,28,5,844.0,3,1,5,0,2.0,2.9,20,18,58,0.32,0.11,0.22,0.31,N/a,N/a,N/a,N/a,31.8,31.8,0.14,14.5,115,60.5,1635,77.4,60.3,35.3,4,4,9,3,18,29,3.09,3,0.32,25,13,25,20,9,1,8,12,347,19,82,98,178,45,33,30.3,42.4,172,1129,610,12,8,24,12,198,58,24,23,8,21,42,21,27,43.8
João Félix,pt POR,Chelsea,"FW,MF",25-175,12,3,369.0,1,1,2,0,2.2,1.0,21,26,30,0.24,0.24,0.54,0.23,N/a,N/a,N/a,N/a,25.0,25.0,0.05,15.9,171,85.9,2588,90.5,91.2,66.7,22,22,8,0,26,18,4.38,3,0.73,8,3,9,4,2,0,2,3,272,2,26,128,125,30,31,32.3,45.2,193,1248,712,13,5,6,4,218,30,6,17,1,0,22,4,5,44.4
Julian Araujo,mx MEX,Bournemouth,DF,23-264,10,6,426.0,0,0,1,0,0.0,0.0,3,14,19,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,158,79.0,2687,89.2,86.0,36.0,18,18,1,0,14,4,0.85,0,0.00,8,3,10,6,3,0,3,6,242,19,80,120,47,2,0,N/a,N/a,108,406,205,1,0,5,2,128,19,5,1,0,6,28,2,7,22.2
Julio Enciso,py PAR,Ipswich Town,"FW,MF",21-101,11,10,709.0,2,3,3,0,1.5,1.2,16,22,33,0.25,0.38,0.19,0.16,N/a,N/a,N/a,N/a,38.5,38.5,0.08,22.7,148,70.8,2405,78.0,75.3,50.0,13,13,7,1,22,23,2.92,4,0.51,11,8,9,5,3,0,3,1,330,4,46,168,128,16,49,46.9,42.9,164,1135,595,18,6,17,27,212,33,8,16,0,15,39,7,16,30.4
Julio Enciso,py PAR,Brighton,"MF,FW",21-101,12,2,294.0,0,0,0,0,1.0,0.2,11,14,17,0.00,0.00,0.31,0.07,N/a,N/a,N/a,N/a,38.5,38.5,0.08,22.7,148,70.8,2405,78.0,75.3,50.0,13,13,7,1,22,23,2.92,4,0.51,11,8,9,5,3,0,3,1,330,4,46,168,128,16,49,46.9,42.9,164,1135,595,18,6,17,27,212,33,8,16,0,15,39,7,16,30.4
Justin Devenny,nir NIR,Crystal Palace,MF,21-205,20,4,429.0,1,0,1,0,0.7,0.4,4,16,12,0.21,0.00,0.14,0.09,N/a,N/a,N/a,N/a,50.0,50.0,0.13,21.2,120,70.6,1883,80.5,69.0,38.1,15,15,4,1,16,11,2.30,0,0.00,14,9,14,7,3,0,3,0,232,7,42,115,80,7,4,50.0,50.0,109,591,274,5,1,16,2,140,12,7,0,1,17,21,2,13,13.3
Jáder Durán,co COL,Aston Villa,FW,21-142,20,4,638.0,7,0,3,1,4.9,0.2,7,13,44,0.99,0.00,0.69,0.03,N/a,N/a,N/a,N/a,48.4,48.4,0.23,15.6,115,70.6,1558,81.0,68.0,45.5,10,10,1,0,13,18,2.54,1,0.14,8,7,4,3,5,0,5,0,263,13,36,110,122,47,14,21.4,64.3,133,535,267,7,2,16,15,192,44,14,15,5,3,19,19,19,50.0
Kasey Mcateer,ie IRL,Leicester City,"FW,MF",23-163,15,6,612.0,0,1,2,0,0.7,0.6,16,11,53,0.00,0.15,0.10,0.09,N/a,N/a,N/a,N/a,44.4,44.4,0.00,16.5,143,71.5,1995,84.7,72.7,50.0,8,8,6,2,11,18,2.65,2,0.29,14,11,21,12,13,1,12,3,288,17,54,112,128,21,16,12.5,62.5,174,1155,480,9,8,14,10,193,53,15,14,2,16,34,10,16,38.5
Kevin Danso,at AUT,Tottenham,DF,26-227,6,5,482.0,0,0,0,0,0.4,0.1,10,17,1,0.00,0.00,0.07,0.01,N/a,N/a,N/a,N/a,33.3,33.3,0.00,17.5,342,88.4,6292,90.4,93.2,54.1,22,22,2,1,17,7,1.31,2,0.37,5,4,6,2,6,6,0,2,453,55,241,190,24,7,2,50.0,50.0,320,1661,903,4,0,7,1,334,1,6,7,0,1,21,12,8,60.0
Kieran Tierney,sct SCO,Arsenal,"DF,FW",27-333,10,1,181.0,0,0,0,0,0.2,0.9,5,12,22,0.00,0.00,0.10,0.43,N/a,N/a,N/a,N/a,0.0,0.0,0.00,2.6,96,82.1,1508,94.5,78.3,54.5,7,7,5,2,12,8,3.98,0,0.00,5,4,5,2,0,0,0,2,133,4,20,46,67,4,3,33.3,33.3,58,231,125,3,1,1,0,90,22,0,2,2,10,3,3,5,37.5
Kiernan Dewsbury-Hall,eng ENG,Chelsea,"MF,FW",26-240,12,2,259.0,0,1,0,0,0.2,1.1,5,14,11,0.00,0.35,0.08,0.37,N/a,N/a,N/a,N/a,0.0,0.0,0.00,7.8,127,83.6,1898,91.5,83.9,50.0,12,12,3,0,14,5,1.73,1,0.35,8,5,6,2,2,0,2,1,181,4,28,95,58,6,4,50.0,50.0,93,474,221,1,0,1,3,137,11,4,6,0,2,9,0,1,0.0
Kosta Nedeljković,rs SRB,Aston Villa,DF,19-139,5,0,126.0,0,0,0,0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,47,88.7,853,95.7,84.0,80.0,5,5,0,0,6,0,0.00,0,0.00,7,5,3,1,1,0,1,0,66,4,15,32,19,0,2,50.0,50.0,27,101,33,0,0,1,0,32,0,0,1,0,1,4,0,1,0.0
Kostas Tsimikas,gr GRE,Liverpool,DF,28-357,16,7,666.0,0,1,2,0,0.4,1.8,15,67,38,0.00,0.14,0.05,0.25,N/a,N/a,N/a,N/a,50.0,50.0,0.00,16.1,447,83.7,7676,94.3,88.3,51.2,39,39,9,3,67,23,3.10,2,0.27,27,17,19,6,5,2,3,10,607,24,136,280,195,11,8,50.0,25.0,298,1262,671,5,2,4,4,382,38,9,6,1,53,26,5,6,45.5
Kyle Walker,eng ENG,Manchester City,DF,34-341,15,9,970.0,0,0,3,0,0.1,0.4,12,64,11,0.00,0.00,0.01,0.04,N/a,N/a,N/a,N/a,40.0,40.0,0.00,27.7,724,87.7,11928,94.6,91.3,51.2,63,63,7,4,64,17,1.58,0,0.00,17,10,26,12,13,4,9,3,892,26,197,473,228,5,6,50.0,33.3,499,2284,1106,13,0,9,2,630,11,6,5,1,14,46,9,7,56.3
Lamare Bogarde,nl NED,Aston Villa,"DF,MF",21-119,8,5,476.0,0,0,2,0,0.0,0.1,12,14,9,0.00,0.00,0.01,0.02,N/a,N/a,N/a,N/a,100.0,100.0,0.00,20.2,240,88.2,3682,92.8,92.2,33.3,24,24,1,0,14,10,1.89,1,0.19,14,6,16,6,5,3,2,1,325,16,95,191,40,4,4,50.0,25.0,173,1031,599,6,1,6,8,212,9,8,11,0,0,13,6,6,50.0
Lewis Miley,eng ENG,Newcastle Utd,MF,19-003,12,1,249.0,1,0,0,0,0.5,0.0,2,14,7,0.36,0.00,0.20,0.01,N/a,N/a,N/a,N/a,66.7,66.7,0.33,14.6,142,87.7,2084,88.9,96.1,87.5,10,10,4,0,14,3,1.08,0,0.00,11,9,11,5,5,1,4,2,198,5,37,105,57,5,3,33.3,33.3,96,497,186,1,0,5,1,141,7,3,1,0,0,16,5,5,50.0
Lloyd Kelly,eng ENG,Newcastle Utd,DF,26-210,10,4,303.0,0,1,2,0,0.4,0.5,0,9,5,0.00,0.30,0.12,0.14,N/a,N/a,N/a,N/a,0.0,0.0,0.00,7.3,146,80.7,2636,87.7,89.7,41.7,6,6,1,1,9,2,0.59,1,0.30,5,4,1,0,6,4,2,1,215,26,105,94,19,4,3,66.7,33.3,120,474,202,2,0,3,2,129,5,5,5,1,1,19,6,2,75.0
Luis Guilherme,br BRA,West Ham,"MF,FW",19-084,11,1,138.0,0,0,0,0,0.3,0.1,3,3,13,0.00,0.00,0.19,0.05,N/a,N/a,N/a,N/a,33.3,33.3,0.00,14.9,47,83.9,727,96.8,86.7,57.1,3,3,3,2,3,10,6.52,0,0.00,1,0,3,3,7,0,7,3,85,3,19,30,37,4,9,55.6,22.2,42,324,136,3,1,4,3,55,13,0,4,0,8,7,2,1,66.7
Luis Sinisterra,co COL,Bournemouth,"FW,MF",25-321,12,1,236.0,1,1,0,0,1.2,1.4,19,6,38,0.38,0.38,0.46,0.54,N/a,N/a,N/a,N/a,46.2,46.2,0.08,14.8,73,78.5,1067,91.7,68.8,100.0,6,6,2,2,6,14,5.29,1,0.38,7,2,4,4,3,0,3,1,155,7,18,41,96,23,20,40.0,50.0,95,744,393,6,10,6,3,102,38,4,2,1,7,17,3,7,30.0
Luke Shaw,eng ENG,Manchester Utd,DF,29-296,4,1,173.0,0,0,1,0,0.0,0.7,6,18,7,0.00,0.00,0.02,0.37,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.1,159,84.1,2589,93.5,85.5,60.0,12,12,3,1,18,9,4.68,0,0.00,3,2,1,0,2,1,1,2,204,8,73,94,37,4,1,0.0,100.0,151,744,386,6,0,1,0,161,7,2,0,0,9,9,3,0,100.0
Luke Thomas,eng ENG,Leicester City,DF,23-328,11,10,873.0,0,0,1,0,0.3,0.3,3,30,13,0.00,0.00,0.04,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.8,417,79.4,6749,91.9,82.7,43.3,27,27,3,1,30,12,1.24,1,0.10,25,20,32,14,14,6,8,17,644,40,237,313,98,7,5,40.0,60.0,312,1189,484,6,1,10,2,362,13,6,6,0,23,36,10,11,47.6
Marco Asensio,es ESP,Aston Villa,"MF,FW",29-103,10,6,540.0,3,1,1,0,4.2,0.8,16,34,26,0.50,0.17,0.70,0.14,N/a,N/a,N/a,N/a,47.1,47.1,0.18,18.9,185,80.4,2637,90.7,84.4,29.4,15,15,8,2,34,27,4.50,3,0.50,7,5,9,6,2,0,2,1,287,4,26,119,147,24,13,53.8,38.5,178,1020,500,18,4,7,8,201,26,8,7,2,23,22,0,1,0.0
Marcus Rashford,eng ENG,Manchester Utd,"FW,MF",27-185,15,12,978.0,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,N/a,N/a,N/a,N/a,56.3,56.3,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,13,13,16,8,21,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,1694,728,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7
Marcus Rashford,eng ENG,Aston Villa,FW,27-185,10,4,444.0,2,2,0,0,3.1,2.3,22,13,42,0.41,0.41,0.62,0.46,N/a,N/a,N/a,N/a,56.3,56.3,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,13,13,16,8,21,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,1694,728,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7
Mark Travers,ie IRL,Bournemouth,GK,25-351,5,5,450.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.00,80.0,20.0,N/a,N/a,N/a,N/a,N/a,100,70.4,3469,100.0,96.2,51.8,3,3,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,162,144,159,3,0,0,0,N/a,N/a,85,426,188,0,0,0,0,68,0,0,1,0,0,3,1,0,100.0
Marshall Munetsi,zw ZIM,Wolves,"MF,FW",28-316,11,10,878.0,1,1,0,0,3.0,1.5,7,8,26,0.10,0.10,0.31,0.15,N/a,N/a,N/a,N/a,33.3,33.3,0.07,14.8,125,72.7,1520,79.6,75.0,33.3,4,4,2,1,8,16,1.64,1,0.10,21,10,20,8,12,1,11,6,302,17,50,161,94,24,10,20.0,70.0,119,461,159,3,3,28,12,150,26,15,10,3,6,31,24,18,57.1
Martin Dúbravka,sk SVK,Newcastle Utd,GK,36-109,10,10,900.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.20,70.7,50.0,N/a,N/a,N/a,N/a,N/a,265,79.6,5932,100.0,100.0,40.2,0,0,0,0,0,0,0.00,0,0.00,0,0,0,0,0,0,0,0,350,262,337,14,0,0,0,N/a,N/a,202,1043,643,0,0,0,0,175,0,0,1,0,0,18,4,0,100.0
Mason Mount,eng ENG,Manchester Utd,"MF,FW",26-114,13,4,374.0,0,0,3,0,1.5,0.2,9,18,20,0.00,0.00,0.35,0.05,N/a,N/a,N/a,N/a,30.0,30.0,0.00,15.8,123,79.9,1727,85.7,79.5,60.0,9,9,3,1,18,14,3.37,0,0.00,8,2,8,2,7,1,6,2,200,3,27,95,81,18,4,0.0,75.0,130,637,278,9,2,9,9,151,20,13,7,0,9,11,3,6,33.3
Massimo Luongo,au AUS,Ipswich Town,MF,32-221,9,2,196.0,0,0,0,0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,43,75.4,613,90.0,68.8,42.9,1,1,0,0,5,0,0.00,0,0.00,8,5,7,3,4,2,2,2,77,9,33,25,19,1,0,N/a,N/a,40,148,25,0,0,2,3,44,1,1,2,0,1,10,1,0,100.0
Mathias Jensen,dk DEN,Brentford,MF,29-123,20,8,793.0,0,2,2,0,0.2,1.6,6,55,26,0.00,0.23,0.03,0.18,N/a,N/a,N/a,N/a,16.7,16.7,0.00,23.1,332,75.1,6157,87.4,78.6,55.7,39,39,17,2,55,37,4.19,4,0.45,13,9,15,8,13,4,9,8,518,24,117,220,184,9,15,60.0,26.7,276,1181,541,8,0,8,6,318,26,7,10,0,31,45,8,5,61.5
Mathys Tel,fr FRA,Tottenham,FW,20-007,9,7,559.0,2,0,0,0,2.2,0.9,16,13,50,0.32,0.00,0.35,0.15,N/a,N/a,N/a,N/a,33.3,33.3,0.06,15.7,132,73.3,2396,84.7,72.6,70.8,9,9,9,4,13,15,2.42,0,0.00,6,2,7,5,3,0,3,0,266,1,27,95,152,30,30,26.7,60.0,182,1070,551,16,7,16,9,192,50,6,7,0,25,27,1,2,33.3
Mats Wieffer,nl NED,Brighton,"MF,DF",25-169,21,6,692.0,1,2,4,0,0.7,1.3,12,49,17,0.13,0.26,0.10,0.17,N/a,N/a,N/a,N/a,50.0,50.0,0.13,12.9,452,86.4,7323,91.0,88.7,75.0,45,45,5,1,49,25,3.25,3,0.39,33,19,27,11,13,1,12,11,635,30,145,345,154,14,11,36.4,54.5,374,1776,761,14,1,11,8,412,17,17,6,1,7,54,23,18,56.1
Matt O'Riley,dk DEN,Brighton,MF,24-164,17,9,758.0,1,1,1,0,2.0,1.5,17,33,45,0.12,0.12,0.23,0.18,N/a,N/a,N/a,N/a,30.0,30.0,0.05,16.8,271,79.0,4302,90.8,80.4,51.9,26,26,7,0,33,35,4.16,4,0.48,15,9,12,8,6,3,3,12,437,16,66,194,179,36,12,58.3,33.3,232,969,471,11,6,14,3,259,45,11,11,1,42,23,4,7,36.4
Michael Kayode,it ITA,Brentford,DF,20-298,8,2,211.0,0,0,1,0,0.1,0.2,4,2,11,0.00,0.00,0.03,0.06,N/a,N/a,N/a,N/a,0.0,0.0,0.00,18.5,58,65.9,1060,73.3,68.9,45.5,3,3,1,1,2,6,2.56,1,0.43,11,7,5,0,0,0,0,2,112,13,47,36,31,7,3,66.7,33.3,44,266,149,2,2,3,0,41,11,5,1,0,7,15,1,1,50.0
Michael Keane,eng ENG,Everton,DF,32-113,11,9,852.0,2,0,5,0,0.4,0.1,1,12,3,0.21,0.00,0.05,0.01,N/a,N/a,N/a,N/a,37.5,37.5,0.25,14.8,258,81.6,5895,88.5,90.3,75.3,17,17,0,0,12,6,0.63,0,0.00,10,7,13,6,11,7,4,10,426,85,241,169,18,14,1,0.0,100.0,189,753,236,1,0,1,2,240,3,9,0,0,1,24,20,14,58.8
Michail Antonio,jm JAM,West Ham,FW,35-037,14,11,836.0,1,1,1,0,2.2,1.6,29,18,59,0.11,0.11,0.24,0.17,N/a,N/a,N/a,N/a,21.1,21.1,0.05,12.6,114,60.6,2183,72.2,59.7,71.0,11,11,6,2,18,22,2.37,4,0.43,2,2,3,1,6,0,6,0,296,3,26,124,151,36,27,33.3,48.1,173,1177,695,13,9,35,19,221,59,12,7,4,25,22,17,22,43.6
Micky Van De Ven,nl NED,Tottenham,DF,24-015,12,11,950.0,0,2,4,0,0.6,1.2,8,51,1,0.00,0.19,0.05,0.11,N/a,N/a,N/a,N/a,33.3,33.3,0.00,11.1,706,91.0,13313,91.7,96.5,62.5,50,50,1,0,51,11,1.04,2,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,2790,1388,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4
Miguel Almirón,py PAR,Newcastle Utd,FW,31-083,9,1,157.0,0,0,0,0,0.5,0.3,3,6,18,0.00,0.00,0.30,0.15,N/a,N/a,N/a,N/a,33.3,33.3,0.00,14.2,54,81.8,707,92.9,81.3,33.3,3,3,1,0,6,8,4.59,0,0.00,3,2,3,1,2,0,2,0,81,1,10,35,36,9,2,50.0,50.0,54,284,93,3,2,0,2,59,18,1,3,2,0,4,0,2,0.0
Mikey Moore,eng ENG,Tottenham,"FW,MF",17-266,7,2,185.0,0,1,0,0,0.2,0.3,9,7,30,0.00,0.49,0.10,0.16,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.5,48,71.6,593,96.8,65.0,20.0,1,1,5,1,7,10,4.86,2,0.97,0,0,1,1,1,0,1,1,96,1,10,22,65,12,11,9.1,81.8,68,521,239,3,4,6,4,73,30,3,4,2,12,5,1,4,20.0
Morato,br BRA,Nott'ham Forest,DF,23-308,23,5,799.0,0,0,2,0,0.2,0.0,0,14,1,0.00,0.00,0.02,0.00,N/a,N/a,N/a,N/a,50.0,50.0,0.00,8.6,181,74.2,3048,83.7,83.5,35.7,11,11,0,0,14,3,0.34,0,0.00,21,13,20,7,11,4,7,10,382,82,237,128,19,2,1,100.0,0.0,124,610,273,2,0,6,3,158,1,10,2,0,0,31,5,13,27.8
Mykhailo Mudryk,ua UKR,Chelsea,FW,24-119,7,1,151.0,0,0,0,0,0.3,1.0,7,5,12,0.00,0.00,0.15,0.58,N/a,N/a,N/a,N/a,100.0,100.0,0.00,11.6,28,66.7,431,70.8,66.7,50.0,2,2,2,1,5,6,3.60,0,0.00,2,2,0,0,3,1,2,0,62,3,12,15,38,6,8,37.5,62.5,39,468,227,8,0,3,7,42,12,2,2,1,7,9,2,4,33.3
Nathan Aké,nl NED,Manchester City,DF,30-075,10,8,678.0,0,0,0,0,0.2,0.0,12,50,2,0.00,0.00,0.03,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,10.0,509,93.9,8321,98.0,97.1,58.8,42,42,1,0,50,8,1.06,0,0.00,9,7,6,2,7,2,5,3,596,51,205,331,61,5,1,100.0,0.0,403,2244,1501,12,1,4,3,449,2,2,0,0,1,24,13,10,56.5
Nathan Broadhead,wls WAL,Ipswich Town,"MF,FW",27-029,16,6,605.0,1,0,1,0,1.5,0.6,17,12,27,0.15,0.00,0.22,0.10,N/a,N/a,N/a,N/a,60.0,60.0,0.10,15.4,149,76.0,2132,87.5,79.7,25.0,10,10,4,0,12,19,2.83,2,0.30,7,3,9,6,6,1,5,4,276,7,38,139,109,19,32,50.0,43.8,152,1079,502,14,4,18,11,191,27,4,13,2,9,30,1,9,10.0
Nathan Patterson,sct SCO,Everton,DF,23-200,10,3,347.0,0,1,1,0,0.1,0.4,6,13,18,0.00,0.26,0.02,0.11,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.8,130,73.9,2272,90.3,69.3,50.0,9,9,5,3,13,11,2.85,1,0.26,11,6,14,7,2,0,2,2,215,11,52,90,75,5,12,75.0,16.7,95,420,216,5,2,4,2,117,18,6,1,0,14,12,1,7,12.5
Nathan Wood-Gordon,eng ENG,Southampton,DF,22-338,9,7,624.0,0,0,2,0,0.2,0.0,2,17,0,0.00,0.00,0.03,0.00,N/a,N/a,N/a,N/a,0.0,0.0,0.00,5.9,363,92.8,6144,94.4,96.4,69.6,11,11,0,0,17,3,0.43,0,0.00,10,7,8,3,8,5,3,4,457,54,219,212,27,2,5,60.0,20.0,253,1150,454,6,0,4,1,339,0,8,4,0,3,20,11,7,61.1
Nathaniel Clyne,eng ENG,Crystal Palace,"DF,MF",34-029,13,5,483.0,0,0,1,0,0.0,0.3,6,7,8,0.00,0.00,0.00,0.06,N/a,N/a,N/a,N/a,0.0,0.0,0.00,31.4,171,76.0,3113,80.9,88.4,46.7,16,16,2,1,7,3,0.56,0,0.00,12,8,11,5,4,2,2,3,273,18,111,125,37,3,1,0.0,100.0,158,651,314,2,3,5,2,178,8,2,2,0,7,10,1,7,12.5
