,Team,Attribute,Median,Mean,Std
410,Everton,1/3_x,6.0,7.142857142857143,5.0142653642240695
411,Chelsea,1/3_x,14.0,20.307692307692307,20.4506911675564
412,Crystal Palace,1/3_x,9.0,9.555555555555555,5.592653911854173
413,Brentford,1/3_x,3.0,9.714285714285714,13.536546651125434
414,Arsenal,1/3_x,24.0,25.22222222222222,16.588985636392735
415,Newcastle Utd,1/3_x,6.0,8.4,9.203863922891903
416,Liverpool,1/3_x,18.0,19.428571428571427,11.443442705426586
417,Wolves,1/3_x,10.0,14.545454545454545,14.208192259141457
418,Nott'ham Forest,1/3_x,8.0,13.5,17.852793121027933
419,Fulham,1/3_x,10.0,14.25,15.011900041538475
420,all,PPA,2.0,3.7037037037037037,4.337525302941832
421,West Ham,PPA,4.0,4.7272727272727275,4.027180380636286
422,Manchester City,PPA,1.5,5.5,8.168367169895232
423,Leicester City,PPA,1.0,2.3636363636363638,2.656039430156385
424,Southampton,PPA,1.5,2.2142857142857144,2.722514997587325
